"Time","Force","Position","Speed","Acceleration"
49.28,50,1.00000818128096,-9.93465247251124e-06,8.53995790190459e-07
49.29,50,1.00000808197902,-9.92565961701962e-06,8.99285549161745e-07
49.3,50,1.00000798276927,-9.91621657129279e-06,9.44304572683291e-07
49.31,50,1.00000788365618,-9.90632605163587e-06,9.89051965691807e-07
49.32,50,1.00000778464423,-9.89599078312396e-06,1.03352685119074e-06
49.33,50,1.00000768573784,-9.88521349942271e-06,1.07772837012538e-06
49.34,50,1.00000758694142,-9.87399694260916e-06,1.12165568135494e-06
49.35,50,1.00000748825935,-9.86234386299373e-06,1.16530796154276e-06
49.36,50,1.00000738969599,-9.8502570189391e-06,1.20868440546322e-06
49.37,50,1.00000729125565,-9.8377391766855e-06,1.25178422535932e-06
49.38,50,1.00000719294263,-9.8247931101737e-06,1.29460665118099e-06
49.39,50,1.0000070947612,-9.81142160086613e-06,1.3371509307571e-06
49.4,50,1.0000069967156,-9.79762743757168e-06,1.37941632944482e-06
49.41,50,1.00000689881005,-9.78341341627002e-06,1.4214021301659e-06
49.42,50,1.00000680104872,-9.76878233993518e-06,1.46310763348387e-06
49.43,50,1.00000670343578,-9.75373701836247e-06,1.5045321572711e-06
49.44,50,1.00000660597535,-9.73828026799436e-06,1.54567503681186e-06
49.45,50,1.00000650867153,-9.7224149117458e-06,1.58653562485531e-06
49.46,50,1.0000064115284,-9.70614377883241e-06,1.6271132913392e-06
49.47,50,1.00000631455,-9.68946970459672e-06,1.66740742356885e-06
49.48,50,1.00000621774034,-9.67239553033648e-06,1.70741742602344e-06
49.49,50,1.00000612110341,-9.654924103134e-06,1.74714272024868e-06
49.5,50,1.00000602464317,-9.63705827568389e-06,1.78658274501127e-06
49.51,50,1.00000592836355,-9.61880090612268e-06,1.82573695612122e-06
49.52,50,1.00000583226844,-9.60015485786093e-06,1.864604826174e-06
49.53,50,1.00000573636173,-9.58112299941371e-06,1.90318584472189e-06
49.54,50,1.00000564064726,-9.5617082042317e-06,1.94147951820174e-06
49.55,50,1.00000554512883,-9.54191335053276e-06,1.97948536989251e-06
49.56,50,1.00000544981025,-9.52174132113504e-06,2.01720293977278e-06
49.57,50,1.00000535469525,-9.50119500329048e-06,2.05463178445606e-06
49.58,50,1.00000525978758,-9.48027728851791e-06,2.09177147725801e-06
49.59,50,1.00000516509093,-9.45899107243825e-06,2.12862160796433e-06
49.6,50,1.00000507060898,-9.43733925460987e-06,2.16518178283849e-06
49.61,50,1.00000497634536,-9.41532473836379e-06,2.20145162460832e-06
49.62,50,1.00000488230368,-9.3929504306394e-06,2.23743077243822e-06
49.63,50,1.00000478848753,-9.37021924182105e-06,2.27311888183585e-06
49.64,50,1.00000469490047,-9.34713408557888e-06,2.30851562421728e-06
49.65,50,1.00000460154602,-9.32369787870633e-06,2.34362068725578e-06
49.66,50,1.00000450842767,-9.29991354095585e-06,2.37843377504632e-06
49.67,50,1.0000044155489,-9.27578399488109e-06,2.41295460747645e-06
49.68,50,1.00000432291313,-9.25131216567716e-06,2.44718292039337e-06
49.69,50,1.00000423052378,-9.2265009810214e-06,2.48111846557695e-06
49.7,50,1.00000413838423,-9.20135337091368e-06,2.51476101077082e-06
49.71,50,1.00000404649782,-9.17587226751977e-06,2.54811033939116e-06
49.72,50,1.00000395486788,-9.1500606050146e-06,2.58116625051739e-06
49.73,50,1.0000038634977,-9.12392131942604e-06,2.61392855885421e-06
49.74,50,1.00000377239054,-9.09745734847854e-06,2.64639709475091e-06
49.75,50,1.00000368154962,-9.07067163143683e-06,2.67857170417116e-06
49.76,50,1.00000359097817,-9.04356710895346e-06,2.7104522483376e-06
49.77,50,1.00000350067933,-9.01614672291599e-06,2.74203860374612e-06
49.78,50,1.00000341065627,-8.98841341629171e-06,2.77333066242892e-06
49.79,50,1.0000033209121,-8.96037013297754e-06,2.80432833141726e-06
49.8,50,1.00000323144989,-8.93201981764772e-06,2.83503153297988e-06
49.81,50,1.00000314227271,-8.90336541560208e-06,2.8654402045647e-06
49.82,50,1.00000305338358,-8.87440987261798e-06,2.89555429841081e-06
49.83,50,1.0000029647855,-8.84515613480047e-06,2.92537378175206e-06
49.84,50,1.00000287648144,-8.81560714843216e-06,2.95489863682883e-06
49.85,50,1.00000278847433,-8.78576585982769e-06,2.98412886044766e-06
