Time,Force,Position,Speed,Acceleration
61.72,50.0,0.9999994030818458,4.0824581690127266e-08,2.7804678626983507e-07
61.730000000000004,50.0,0.9999994035196157,4.358796344675872e-08,2.764462104280317e-07
61.74,50.0,0.999999403984853,4.6335275531253906e-08,2.7483993576808256e-07
61.75,50.0,0.9999994044773962,4.906646209518092e-08,2.732280708608042e-07
61.76,50.0,0.9999994049970837,5.17814683718176e-08,2.71610723949321e-07
61.77,50.0,0.9999994055437528,5.448024067630219e-08,2.699880033042613e-07
61.78,50.0,0.9999994061172405,5.71627264022957e-08,2.6836001658593785e-07
61.79,50.0,0.9999994067173833,5.982887401910577e-08,2.6672687134316575e-07
61.800000000000004,50.0,0.9999994073440174,6.247863306868981e-08,2.65088674801598e-07
61.81,50.0,0.9999994079969783,6.511195416201034e-08,2.634455337944936e-07
61.82,50.0,0.9999994086761009,6.772878897613973e-08,2.617975550483822e-07
61.83,50.0,0.99999940938122,7.032909025372024e-08,2.601448448991172e-07
61.84,50.0,0.9999994101121695,7.291281179784826e-08,2.584875093654876e-07
61.85,50.0,0.9999994108687832,7.547990846860452e-08,2.568256541509532e-07
61.86,50.0,0.9999994116508941,7.803033618104661e-08,2.5515938485781086e-07
61.870000000000005,50.0,0.9999994124583352,8.05640519019587e-08,2.5348880642038567e-07
61.88,50.0,0.9999994132909388,8.308101364654882e-08,2.51814023817225e-07
61.89,50.0,0.9999994141485369,8.558118047525852e-08,2.501351412910967e-07
61.9,50.0,0.999999415030961,8.806451249066014e-08,2.484522632742457e-07
61.910000000000004,50.0,0.9999994159380424,9.053097083369377e-08,2.467654933955163e-07
61.92,50.0,0.9999994168696117,9.298051768172863e-08,2.450749353339722e-07
61.93,50.0,0.9999994178254993,9.541311624311553e-08,2.433806922531864e-07
61.940000000000005,50.0,0.9999994188055354,9.782873075648512e-08,2.4168286687264616e-07
61.95,50.0,0.99999941980955,1.0022732648442486e-07,2.399815617551319e-07
61.96,50.0,0.9999994208373721,1.026088697108666e-07,2.3827687909486011e-07
61.97,50.0,0.999999421888831,1.0497332773959181e-07,2.36568920647177e-07
61.980000000000004,50.0,0.999999422963755,1.0732066888992582e-07,2.348577880859823e-07
61.99,50.0,0.9999994240619731,1.0965086249149744e-07,2.331435822247528e-07
62.0,50.0,0.999999425183313,1.1196387888163673e-07,2.3142640408365727e-07
62.01,50.0,0.9999994263276029,1.1425968940330432e-07,2.2970635389583217e-07
62.02,50.0,0.9999994274946703,1.1653826639831618e-07,2.2798353167920335e-07
62.03,50.0,0.9999994286843424,1.1879958320654712e-07,2.2625803716583006e-07
62.04,50.0,0.9999994298964464,1.2104361416138806e-07,2.2452996973312208e-07
62.050000000000004,50.0,0.9999994311308089,1.2327033458508852e-07,2.2279942826405985e-07
62.06,50.0,0.9999994323872565,1.2547972078825487e-07,2.2106651136060821e-07
62.07,50.0,0.9999994336656157,1.27671750060217e-07,2.1933131713537032e-07
62.08,50.0,0.9999994349657128,1.2984640066999401e-07,2.1759394328215887e-07
62.09,50.0,0.9999994362873733,1.320036518601222e-07,2.1585448743435367e-07
62.1,50.0,0.9999994376304232,1.341434838450333e-07,2.1411304645516969e-07
62.11,50.0,0.9999994389946879,1.3626587780559984e-07,2.1236971715092724e-07
62.120000000000005,50.0,0.9999994403799928,1.3837081588548113e-07,2.1062459563339026e-07
62.13,50.0,0.9999994417861631,1.404582811872736e-07,2.0887777789012565e-07
62.14,50.0,0.9999994432130239,1.425282577670995e-07,2.071293591477202e-07
62.15,50.0,0.9999994446604,1.4458073063192318e-07,2.053794346547196e-07
62.160000000000004,50.0,0.9999994461281162,1.4661568573699094e-07,2.0362809904342004e-07
62.17,50.0,0.9999994476159971,1.4863310997916726e-07,2.0187544647530857e-07
62.18,50.0,0.9999994491238673,1.5063299119355403e-07,2.0012157078486213e-07
62.190000000000005,50.0,0.999999450651551,1.5261531815005256e-07,1.983665654102122e-07
62.2,50.0,0.9999994521988728,1.545800805493026e-07,1.9661052332412105e-07
62.21,50.0,0.9999994537656566,1.565272690167441e-07,1.948535371790594e-07
62.22,50.0,0.9999994553517265,1.5845687510073823e-07,1.9309569916603732e-07
62.230000000000004,50.0,0.9999994569569065,1.603688912670805e-07,1.9133710108840203e-07
62.24,50.0,0.9999994585810207,1.622633108967372e-07,1.895778342208611e-07
62.25,50.0,0.999999460223893,1.6414012827746457e-07,1.8781798938472706e-07
62.26,50.0,0.9999994618853472,1.6599933860222998e-07,1.8605765709081547e-07
62.27,50.0,0.9999994635652071,1.6784093796660841e-07,1.8429692746969237e-07
62.28,50.0,0.9999994652632966,1.6966492335997192e-07,1.8253588999186238e-07
62.29,50.0,0.9999994669794395,1.7147129266465205e-07,1.807746338945133e-07
62.300000000000004,50.0,0.9999994687134595,1.7326004465000888e-07,1.790132479713185e-07
62.31,50.0,0.9999994704651803,1.7503117896949873e-07,1.7725182036074057e-07
