Time,Desired_Position,Position,Speed,Acceleration,Control_Input,Error
16.76,1.0,0.991605669448783,0.002006678656584929,-0.0005019218978971431,49.63042521547868,0.008394330551216966
16.77,1.0,0.9916257085998229,0.0020016190374056967,-0.0005025617537036704,49.631110206491066,0.008374291400177092
16.78,1.0,0.9916456971191514,0.0019965531696857367,-0.000503165432621911,49.63179597117966,0.008354302880848596
16.79,1.0,0.991665634946225,0.001991481414404681,-0.0005037330719022425,49.63248251084126,0.00833436505377505
16.8,1.0,0.9916855220241031,0.001986404131163438,-0.0005042648155566445,49.63316982620766,0.008314477975896906
16.81,1.0,0.9917053582994341,0.0019813216781168117,-0.0005047608141416891,49.633857917463374,0.00829464170056593
16.82,1.0,0.99172514372244,0.0019762344119082687,-0.0005052212246621169,49.63454678425121,0.008274856277559972
16.830000000000002,1.0,0.9917448782469015,0.001971142687605668,-0.0005056462104498843,49.63523642568037,0.008255121753098504
16.84,1.0,0.9917645618301412,0.0019660468586381995,-0.0005060359410371362,49.63592684033525,0.008235438169858833
16.85,1.0,0.9917841944330076,0.0019609472767345873,-0.0005063905920900643,49.6366180262781,0.008215805566992418
16.86,1.0,0.9918037760198577,0.0019558442918619742,-0.0005067103452490306,49.63730998106108,0.008196223980142303
16.87,1.0,0.9918233065585383,0.0019507382521663905,-0.0005069953879479537,49.63800270174044,0.008176693441461658
16.88,1.0,0.9918427860203683,0.0019456295039149917,-0.0005072459134360186,49.63869618487057,0.00815721397963165
16.89,1.0,0.9918622143801196,0.0019405183914381547,-0.0005074621205964545,49.63939042651824,0.008137785619880433
16.9,1.0,0.9918815916159965,0.0019354052570733176,-0.0005076442137626338,49.64008542227723,0.008118408384003462
16.91,1.0,0.9919009177096165,0.00193029044111067,-0.0005077924026801877,49.640781167268344,0.008099082290383475
16.92,1.0,0.9919201926459889,0.0019251742817392647,-0.000507906902389183,49.64147765614749,0.008079807354011148
16.93,1.0,0.9919394164134938,0.0019200571149942433,-0.0005079879331106944,49.642174883113334,0.008060583586506187
16.94,1.0,0.9919585890038605,0.0019149392747052298,-0.000508035720070934,49.64287284192119,0.00804141099613953
16.95,1.0,0.9919777104121442,0.0019098210924464768,-0.0005080504934219683,49.64357152588734,0.00802228958785578
16.96,1.0,0.9919967806367047,0.0019047028974878129,-0.0005080324882007069,49.64427092788956,0.008003219363295289
16.97,1.0,0.9920157996791814,0.0018995850167459595,-0.0005079819440386758,49.6449710403925,0.00798420032081859
16.98,1.0,0.9920347675444712,0.0018944677747388086,-0.0005078991052879446,49.64567185543171,0.007965232455528826
16.990000000000002,1.0,0.9920536842407025,0.0018893514935383767,-0.0005077842206260601,49.646373364649435,0.007946315759297495
17.0,1.0,0.9920725497792123,0.0018842364927277489,-0.0005076375432417835,49.64707555927283,0.007927450220787668
17.01,1.0,0.9920913641745197,0.0018791230893561589,-0.00050745933045132,49.64777843014866,0.007908635825480292
17.02,1.0,0.9921101274443007,0.0018740115978978758,-0.0005072498437599006,49.648481967733936,0.007889872555699284
17.03,1.0,0.9921288396093626,0.0018689023302105293,-0.0005070093487048756,49.64918616210817,0.0078711603906374
17.04,1.0,0.9921475006936172,0.001863795595494942,-0.0005067381147273444,49.649891002982876,0.007852499306382765
