"Time","Position","Speed","Control_Input","Desired_Position"
4.72,1.01645482214222,-0.195301942425634,36.855492991799,1
4.73,1.01449993470748,-0.19567360573586,37.2828141313833,1
4.74,1.01254160019197,-0.195991400595514,37.7064304400226,1
4.75,1.01058035414573,-0.196255953825491,38.1262973506446,1
4.76,1.00861672583134,-0.196467896082322,38.5423716902278,1
4.77,1.00665123818654,-0.196627861669342,38.9546116716811,1
4.78,1.00468440778873,-0.196736488349448,39.362976885531,1
4.79,1.00271674482124,-0.196794417159474,39.7674282913956,1
4.8,1.00074875304155,-0.196802292226188,40.1679282092819,1
4.81,0.998780929751302,-0.196760760583947,40.5644403106764,1
4.82,0.996813765768113,-0.19667047199402,40.9569296094551,1
4.83,0.994847745399215,-0.196532078765609,41.3453624526027,1
4.84,0.992883346416857,-0.196346235578566,41.7297065107677,1
4.85,0.990921040035478,-0.196113599307845,42.1099307686298,1
4.86,0.988961290890622,-0.195834828849698,42.4860055151103,1
4.87,0.987004557019593,-0.195510584949622,42.8579023333952,1
4.88,0.985051289843808,-0.195141530032097,43.2255940908295,1
4.89,0.983101934152853,-0.194728328032094,43.5890549286248,1
4.9,0.981156928090213,-0.19427164422841,43.9482602514329,1
4.91,0.979216703140657,-0.193772145078807,44.3031867167689,1
4.92,0.977281684119264,-0.193230498056992,44.653812224271,1
4.93,0.975352289162072,-0.192647371491441,45.0001159048555,1
4.94,0.973428929718325,-0.192023434406083,45.3420781097043,1
4.95,0.971512010544309,-0.191359356362847,45.6796803991437,1
4.96,0.969601929698747,-0.190655807306105,46.0129055313708,1
4.97,0.967699078539747,-0.189913457408991,46.34173745109,1
4.98,0.965803841723272,-0.189132976921633,46.6661612779976,1
4.99,0.963916597203121,-0.188315036021291,46.986163295181,1
5,0.962037716232397,-0.187460304664424,47.3017309373721,1
5.01,0.960167563366445,-0.186569452440671,47.6128527791339,1
5.02,0.958306496467245,-0.185643148428789,47.9195185229112,1
5.03,0.956454866709226,-0.184682061054513,48.2217189870084,1
5.04,0.954613018586505,-0.183686857950393,48.5194460934379,1
5.05,0.952781289921502,-0.182658205817564,48.8126928557227,1
5.06,0.950960011874944,-0.181596770289496,49.1014533665697,1
5.07,0.949149508957211,-0.180503215797709,49.3857227854924,1
5.08,0.947350099041013,-0.179378205439456,49.665497326323,1
5.09,0.945562093375394,-0.178222400847392,49.9407742446797,1
5.1,0.94378579660101,-0.177036462061222,50.2115518253377,1
5.11,0.942021506766702,-0.17582104740133,50.4778293695507,1
5.12,0.9402695153473,-0.174576813344403,50.7396071822839,1
5.13,0.938530107262684,-0.173304414401043,50.9968865594159,1
5.14,0.936803560898038,-0.172004502995364,51.2496697748596,1
5.15,0.935090148125312,-0.170677729346599,51.4979600676366,1
5.16,0.933390134325854,-0.169324741352683,51.7417616289138,1
5.17,0.931703778414195,-0.167946184475847,51.9810795889611,1
5.18,0.930031332862965,-0.166542701630196,52.2159200041076,1
5.19,0.928373043728932,-0.165114933071288,52.4462898436242,1
5.2,0.92672915068013,-0.163663516287708,52.6721969765918,1
5.21,0.925099887024055,-0.162189085894626,52.8936501587154,1
5.22,0.923485479736932,-0.160692273529363,53.1106590191337,1
5.23,0.921886149493996,-0.159173707748924,53.3232340471814,1
5.24,0.920302110700807,-0.157634013929538,53.5313865791417,1
5.25,0.918733571525544,-0.156073814168171,53.735128784967,1
5.26,0.917180733932285,-0.154493727186018,53.9344736549933,1
5.27,0.915643793715235,-0.15289436823398,54.1294349866417,1
5.28,0.914122940533894,-0.151276349000102,54.3200273711033,1
5.29,0.912618357949139,-0.149640277518995,54.5062661800102,1
5.3,0.911130223460202,-0.1479867580832,54.688167552125,1
5.31,0.909658708542523,-0.146316391156532,54.8657483800063,1
5.32,0.908203978686463,-0.144629773289358,55.0390262966935,1
5.33,0.906766193436851,-0.142927497035832,55.2080196623761,1
5.34,0.905345506433354,-0.141210150873068,55.3727475510926,1
5.35,0.90394206545164,-0.139478319122243,55.5332297374256,1
5.36,0.902556012445321,-0.137732581871626,55.6894866832185,1
5.37,0.901187483588664,-0.135973514901534,55.8415395242987,1
5.38,0.899836609320028,-0.134201689611188,55.9894100572276,1
5.39,0.898503514386041,-0.132417672947476,56.133120726073,1
5.4,0.897188317886461,-0.130622027335618,56.2726946091988,1
5.41,0.89589113331974,-0.128815310611705,56.4081554060902,1
5.42,0.894612068629234,-0.126998075957121,56.539527424198,1
5.43,0.893351226250079,-0.125170871834836,56.6668355658219,1
5.44,0.892108703156675,-0.12333424192755,56.7901053150296,1
5.45,0.890884590910797,-0.121488725077692,56.909362724614,1
5.46,0.889678975710286,-0.11963485522925,57.0246344030734,1
5.47,0.888491938438313,-0.117773161371439,57.1359475016578,1
5.48,0.887323554713206,-0.115904167484172,57.2433297014422,1
5.49,0.8861738949388,-0.11402839248535,57.3468092004589,1
5.5,0.885043024355316,-0.112146350179941,57.4464147008584,1
5.51,0.883931003090738,-0.110258549210842,57.5421753961483,1
5.52,0.882837886212667,-0.10836549301151,57.6341209584626,1
5.53,0.881763723780646,-0.106467679760364,57.7222815259027,1
5.54,0.88070856089893,-0.104565602336916,57.8066876899161,1
5.55,0.879672437769686,-0.102659748279657,57.8873704827617,1
5.56,0.878655389746604,-0.100750599745645,57.9643613650096,1
5.57,0.877657447388908,-0.0988386334718232,58.0376922131263,1
5.58,0.876678636515742,-0.0969243207380135,58.1073953071066,1
5.59,0.875718978260916,-0.0950081273316091,58.1735033181883,1
5.6,0.874778489127999,-0.0930905135139279,58.236049296626,1
5.61,0.873857181045744,-0.0911719339882236,58.2950666595471,1
5.62,0.872955061423816,-0.0892528378693386,58.3505891788595,1
5.63,0.872072133208823,-0.0873336686549836,58.4026509692621,1
5.64,0.871208394940622,-0.0854148641986316,58.4512864763078,1
5.65,0.870363840808888,-0.0834968566840089,58.4965304645608,1
5.66,0.869538460709936,-0.0815800726011713,58.5384180058231,1
5.67,0.868732240303765,-0.0796649327241496,58.5769844674457,1
5.68,0.867945161071323,-0.0777518520901483,58.6122655007238,1
5.69,0.867177200371975,-0.0758412399802845,58.6442970293788,1
5.7,0.866428331501151,-0.0739334999018497,58.6731152381209,1
5.71,0.865698523748166,-0.0720290295720807,58.6987565612962,1
5.72,0.864987742454192,-0.0701282209034231,58.7212576716358,1
